timestamp,open,high,low,close,anchor_price,refresh_triggered,current_position_btc,current_position_notional_usd,average_cost,cash_usd,btc_market_value_usd,equity_usd,realized_pnl_usd,unrealized_pnl_usd,current_limit_orders_json,fill_count,fills_json,debug_max_position_notional_usd,debug_spacing_pct,debug_levels_per_side
2026-03-02 00:00:00+00:00,65758.1015625,66667.203125,65758.1015625,66532.3828125,65933.59,True,0.4659368712134422,30999.890282031247,66461.51942770548,19020.6275817635,30999.890282031247,50020.51786379475,0.0,33.01786379475128,"[{""side"":""BUY"",""price"":65735.78,""quantity"":0.030333},{""side"":""SELL"",""price"":66131.39,""quantity"":0.030333},{""side"":""BUY"",""price"":65537.98,""quantity"":0.030333},{""side"":""SELL"",""price"":66329.19,""quantity"":0.030333},{""side"":""BUY"",""price"":65340.18,""quantity"":0.030333},{""side"":""SELL"",""price"":66526.99,""quantity"":0.030333},{""side"":""BUY"",""price"":65142.38,""quantity"":0.030333},{""side"":""SELL"",""price"":66724.79,""quantity"":0.030333},{""side"":""BUY"",""price"":64944.58,""quantity"":0.030333},{""side"":""SELL"",""price"":66922.59,""quantity"":0.030333},{""side"":""BUY"",""price"":64746.78,""quantity"":0.030333},{""side"":""SELL"",""price"":67120.39,""quantity"":0.030333}]",3,"[{""timestamp"":""2026-03-02 00:00:00+00:00"",""side"":""BUY"",""price"":66332.78,""quantity"":0.03006,""fee"":0.9969816833999999},{""timestamp"":""2026-03-02 00:00:00+00:00"",""side"":""BUY"",""price"":66133.18,""quantity"":0.03006,""fee"":0.9939816953999999},{""timestamp"":""2026-03-02 00:00:00+00:00"",""side"":""BUY"",""price"":65933.59,""quantity"":0.03006,""fee"":0.9909818577}]",50000.0,0.003,6
2026-03-02 01:00:00+00:00,66503.2890625,66998.765625,66422.015625,66532.8046875,66932.0,True,0.40581687121344223,27000.134631336292,66461.51942770548,23036.5704698315,27000.134631336292,50036.70510116779,20.276340074346162,28.928761093448117,"[{""side"":""BUY"",""price"":66731.2,""quantity"":0.029881},{""side"":""SELL"",""price"":67132.79,""quantity"":0.029881},{""side"":""BUY"",""price"":66530.4,""quantity"":0.029881},{""side"":""SELL"",""price"":67333.59,""quantity"":0.029881},{""side"":""BUY"",""price"":66329.61,""quantity"":0.029881},{""side"":""SELL"",""price"":67534.38,""quantity"":0.029881},{""side"":""BUY"",""price"":66128.81,""quantity"":0.029881},{""side"":""SELL"",""price"":67735.18,""quantity"":0.029881},{""side"":""BUY"",""price"":65928.02,""quantity"":0.029881},{""side"":""SELL"",""price"":67935.98,""quantity"":0.029881},{""side"":""BUY"",""price"":65727.22,""quantity"":0.029881},{""side"":""SELL"",""price"":68136.77,""quantity"":0.029881}]",2,"[{""timestamp"":""2026-03-02 01:00:00+00:00"",""side"":""SELL"",""price"":66732.4,""quantity"":0.03006,""fee"":1.002987972},{""timestamp"":""2026-03-02 01:00:00+00:00"",""side"":""SELL"",""price"":66932.0,""quantity"":0.03006,""fee"":1.0059879600000001}]",50000.0,0.003,6
2026-03-02 02:00:00+00:00,66538.0234375,66583.21875,65946.2890625,66341.1875,66540.21,True,0.40581687121344223,26922.373143834324,66441.72252390643,23046.570495477303,26922.373143834324,49968.94363931163,22.242448160704264,-40.79880884907533,"[{""side"":""BUY"",""price"":66340.58,""quantity"":0.030057},{""side"":""SELL"",""price"":66739.83,""quantity"":0.030057},{""side"":""BUY"",""price"":66140.96,""quantity"":0.030057},{""side"":""SELL"",""price"":66939.45,""quantity"":0.030057},{""side"":""BUY"",""price"":65941.34,""quantity"":0.030057},{""side"":""SELL"",""price"":67139.07,""quantity"":0.030057},{""side"":""BUY"",""price"":65741.72,""quantity"":0.030057},{""side"":""SELL"",""price"":67338.69,""quantity"":0.030057},{""side"":""BUY"",""price"":65542.1,""quantity"":0.030057},{""side"":""SELL"",""price"":67538.31,""quantity"":0.030057},{""side"":""BUY"",""price"":65342.48,""quantity"":0.030057},{""side"":""SELL"",""price"":67737.93,""quantity"":0.030057}]",2,"[{""timestamp"":""2026-03-02 02:00:00+00:00"",""side"":""BUY"",""price"":66142.16,""quantity"":0.030147,""fee"":0.9969938487600001},{""timestamp"":""2026-03-02 02:00:00+00:00"",""side"":""SELL"",""price"":66540.21,""quantity"":0.030147,""fee"":1.0029938554350002}]",50000.0,0.003,6
2026-03-02 03:00:00+00:00,66289.5390625,66977.2578125,66164.34375,66826.21875,66224.78,True,0.49560087121344226,33119.13223240007,66444.75700510462,17079.662988865384,33119.13223240007,50198.795221265456,22.242448160704264,189.05277310474995,"[{""side"":""BUY"",""price"":66026.1,""quantity"":0.0302},{""side"":""SELL"",""price"":66423.45,""quantity"":0.0302},{""side"":""BUY"",""price"":65827.43,""quantity"":0.0302},{""side"":""SELL"",""price"":66622.12,""quantity"":0.0302},{""side"":""BUY"",""price"":65628.75,""quantity"":0.0302},{""side"":""SELL"",""price"":66820.8,""quantity"":0.0302},{""side"":""BUY"",""price"":65430.08,""quantity"":0.0302},{""side"":""SELL"",""price"":67019.47,""quantity"":0.0302},{""side"":""BUY"",""price"":65231.4,""quantity"":0.0302},{""side"":""SELL"",""price"":67218.15,""quantity"":0.0302},{""side"":""BUY"",""price"":65032.73,""quantity"":0.0302},{""side"":""SELL"",""price"":67416.82,""quantity"":0.0302}]",3,"[{""timestamp"":""2026-03-02 03:00:00+00:00"",""side"":""BUY"",""price"":66625.74,""quantity"":0.029928,""fee"":0.9969875733600001},{""timestamp"":""2026-03-02 03:00:00+00:00"",""side"":""BUY"",""price"":66425.26,""quantity"":0.029928,""fee"":0.9939875906399999},{""timestamp"":""2026-03-02 03:00:00+00:00"",""side"":""BUY"",""price"":66224.78,""quantity"":0.029928,""fee"":0.99098760792}]",50000.0,0.003,6
2026-03-02 04:00:00+00:00,66820.390625,66962.8359375,66657.203125,66791.6953125,66791.6953125,True,0.49560087121344226,33102.02238669779,66444.75700510462,17079.662988865384,33102.02238669779,50181.685375563175,22.242448160704264,171.94292740246712,"[{""side"":""BUY"",""price"":66591.32,""quantity"":0.029943},{""side"":""SELL"",""price"":66992.07,""quantity"":0.029943},{""side"":""BUY"",""price"":66390.94,""quantity"":0.029943},{""side"":""SELL"",""price"":67192.44,""quantity"":0.029943},{""side"":""BUY"",""price"":66190.57,""quantity"":0.029943},{""side"":""SELL"",""price"":67392.82,""quantity"":0.029943},{""side"":""BUY"",""price"":65990.19,""quantity"":0.029943},{""side"":""SELL"",""price"":67593.19,""quantity"":0.029943},{""side"":""BUY"",""price"":65789.81,""quantity"":0.029943},{""side"":""SELL"",""price"":67793.57,""quantity"":0.029943},{""side"":""BUY"",""price"":65589.44,""quantity"":0.029943},{""side"":""SELL"",""price"":67993.94,""quantity"":0.029943}]",0,[],50000.0,0.003,6
2026-03-02 05:00:00+00:00,66841.4296875,66972.796875,66609.2578125,66789.375,66791.6953125,False,0.49560087121344226,33100.8724378013,66444.75700510462,17079.662988865384,33100.8724378013,50180.53542666668,22.242448160704264,170.7929785059797,"[{""side"":""BUY"",""price"":66591.32,""quantity"":0.029943},{""side"":""SELL"",""price"":66992.07,""quantity"":0.029943},{""side"":""BUY"",""price"":66390.94,""quantity"":0.029943},{""side"":""SELL"",""price"":67192.44,""quantity"":0.029943},{""side"":""BUY"",""price"":66190.57,""quantity"":0.029943},{""side"":""SELL"",""price"":67392.82,""quantity"":0.029943},{""side"":""BUY"",""price"":65990.19,""quantity"":0.029943},{""side"":""SELL"",""price"":67593.19,""quantity"":0.029943},{""side"":""BUY"",""price"":65789.81,""quantity"":0.029943},{""side"":""SELL"",""price"":67793.57,""quantity"":0.029943},{""side"":""BUY"",""price"":65589.44,""quantity"":0.029943},{""side"":""SELL"",""price"":67993.94,""quantity"":0.029943}]",0,[],50000.0,0.003,6
2026-03-02 06:00:00+00:00,66712.28125,66712.28125,66103.8046875,66230.34375,66627.72,True,0.43520687121344226,28823.90068282826,66444.75700510462,21095.568711275508,28823.90068282826,49919.46939410377,25.283516004540814,-93.31412190077151,"[{""side"":""BUY"",""price"":66427.83,""quantity"":0.030017},{""side"":""SELL"",""price"":66827.6,""quantity"":0.030017},{""side"":""BUY"",""price"":66227.95,""quantity"":0.030017},{""side"":""SELL"",""price"":67027.48,""quantity"":0.030017},{""side"":""BUY"",""price"":66028.07,""quantity"":0.030017},{""side"":""SELL"",""price"":67227.36,""quantity"":0.030017},{""side"":""BUY"",""price"":65828.18,""quantity"":0.030017},{""side"":""SELL"",""price"":67427.25,""quantity"":0.030017},{""side"":""BUY"",""price"":65628.3,""quantity"":0.030017},{""side"":""SELL"",""price"":67627.13,""quantity"":0.030017},{""side"":""BUY"",""price"":65428.42,""quantity"":0.030017},{""side"":""SELL"",""price"":67827.01,""quantity"":0.030017}]",2,"[{""timestamp"":""2026-03-02 06:00:00+00:00"",""side"":""SELL"",""price"":66429.03,""quantity"":0.030197,""fee"":1.002978709455},{""timestamp"":""2026-03-02 06:00:00+00:00"",""side"":""SELL"",""price"":66627.72,""quantity"":0.030197,""fee"":1.00597863042}]",50000.0,0.003,6
2026-03-02 07:00:00+00:00,66211.453125,66211.453125,65567.609375,65960.0234375,66157.9,True,0.43520687121344226,28706.255425399697,66402.43807103747,21105.568576469086,28706.255425399697,49811.82400186878,16.86589030966357,-192.5418884408831,"[{""side"":""BUY"",""price"":65959.42,""quantity"":0.03023},{""side"":""SELL"",""price"":66356.37,""quantity"":0.03023},{""side"":""BUY"",""price"":65760.95,""quantity"":0.03023},{""side"":""SELL"",""price"":66554.84,""quantity"":0.03023},{""side"":""BUY"",""price"":65562.47,""quantity"":0.03023},{""side"":""SELL"",""price"":66753.32,""quantity"":0.03023},{""side"":""BUY"",""price"":65364.0,""quantity"":0.03023},{""side"":""SELL"",""price"":66951.79,""quantity"":0.03023},{""side"":""BUY"",""price"":65165.53,""quantity"":0.03023},{""side"":""SELL"",""price"":67150.26,""quantity"":0.03023},{""side"":""BUY"",""price"":64967.05,""quantity"":0.03023},{""side"":""SELL"",""price"":67348.74,""quantity"":0.03023}]",2,"[{""timestamp"":""2026-03-02 07:00:00+00:00"",""side"":""BUY"",""price"":65762.14,""quantity"":0.030321,""fee"":0.99698692347},{""timestamp"":""2026-03-02 07:00:00+00:00"",""side"":""SELL"",""price"":66157.9,""quantity"":0.030321,""fee"":1.00298684295}]",50000.0,0.003,6
2026-03-02 08:00:00+00:00,65977.1953125,66291.421875,65695.4375,66252.703125,65760.95,False,0.4956668712134422,32839.2700674018,66340.3123388759,17121.670837976537,32839.2700674018,49960.94090537833,16.86589030966357,-43.424984931335494,"[{""side"":""BUY"",""price"":65563.66,""quantity"":0.030413},{""side"":""SELL"",""price"":65958.23,""quantity"":0.030413},{""side"":""BUY"",""price"":65366.38,""quantity"":0.030413},{""side"":""SELL"",""price"":66155.51,""quantity"":0.030413},{""side"":""BUY"",""price"":65169.1,""quantity"":0.030413},{""side"":""SELL"",""price"":66352.79,""quantity"":0.030413},{""side"":""BUY"",""price"":64971.81,""quantity"":0.030413},{""side"":""SELL"",""price"":66550.08,""quantity"":0.030413},{""side"":""BUY"",""price"":64774.53,""quantity"":0.030413},{""side"":""SELL"",""price"":66747.36,""quantity"":0.030413},{""side"":""BUY"",""price"":64577.25,""quantity"":0.030413},{""side"":""SELL"",""price"":66944.64,""quantity"":0.030413}]",2,"[{""timestamp"":""2026-03-02 08:00:00+00:00"",""side"":""BUY"",""price"":65959.42,""quantity"":0.03023,""fee"":0.9969766333},{""timestamp"":""2026-03-02 08:00:00+00:00"",""side"":""BUY"",""price"":65760.95,""quantity"":0.03023,""fee"":0.99397675925}]",50000.0,0.003,6
2026-03-02 09:00:00+00:00,66274.4453125,66577.0703125,66218.4609375,66237.2890625,66436.0,True,0.4654728712134422,30831.661121316607,66340.3123388759,19126.636437684538,30831.661121316607,49958.29755900115,18.752099257644716,-47.95454025650509,"[{""side"":""BUY"",""price"":66236.69,""quantity"":0.030104},{""side"":""SELL"",""price"":66635.3,""quantity"":0.030104},{""side"":""BUY"",""price"":66037.38,""quantity"":0.030104},{""side"":""SELL"",""price"":66834.61,""quantity"":0.030104},{""side"":""BUY"",""price"":65838.07,""quantity"":0.030104},{""side"":""SELL"",""price"":67033.92,""quantity"":0.030104},{""side"":""BUY"",""price"":65638.76,""quantity"":0.030104},{""side"":""SELL"",""price"":67233.23,""quantity"":0.030104},{""side"":""BUY"",""price"":65439.46,""quantity"":0.030104},{""side"":""SELL"",""price"":67432.54,""quantity"":0.030104},{""side"":""BUY"",""price"":65240.15,""quantity"":0.030104},{""side"":""SELL"",""price"":67631.84,""quantity"":0.030104}]",1,"[{""timestamp"":""2026-03-02 09:00:00+00:00"",""side"":""SELL"",""price"":66436.0,""quantity"":0.030194,""fee"":1.002984292}]",50000.0,0.003,6
