timestamp,equity,bh_equity,cash,btc,close
2026-03-02 00:00:00+00:00,50020.51786379475,50000.0,19020.6275817635,0.4659368712134422,66532.3828125
2026-03-02 01:00:00+00:00,50036.70510116779,50000.31704486009,23036.5704698315,0.40581687121344223,66532.8046875
2026-03-02 02:00:00+00:00,49968.94363931163,49856.31409516865,23046.570495477303,0.40581687121344223,66341.1875
2026-03-02 03:00:00+00:00,50198.795221265456,50220.82174505014,17079.662988865384,0.49560087121344226,66826.21875
2026-03-02 04:00:00+00:00,50181.685375563175,50194.87690733308,17079.662988865384,0.49560087121344226,66791.6953125
2026-03-02 05:00:00+00:00,50180.53542666668,50193.1331606026,17079.662988865384,0.49560087121344226,66789.375
2026-03-02 06:00:00+00:00,49919.46939410377,49773.013493781524,21095.568711275508,0.43520687121344226,66230.34375
2026-03-02 07:00:00+00:00,49811.82400186878,49569.86406408064,21105.568576469086,0.43520687121344226,65960.0234375
2026-03-02 08:00:00+00:00,49960.94090537833,49789.8168713661,17121.670837976537,0.4956668712134422,66252.703125
2026-03-02 09:00:00+00:00,49958.29755900115,49778.23299157072,19126.636437684538,0.4654728712134422,66237.2890625
2026-03-02 10:00:00+00:00,49970.0138841513,49797.4846600193,17131.650127266657,0.49557687121344224,66262.90625
2026-03-02 11:00:00+00:00,49993.990685624216,49829.41225167021,19136.597619632856,0.46538287121344224,66305.390625
2026-03-02 12:00:00+00:00,49849.969327774576,49571.02069069984,23152.497131799657,0.4047428712134422,65961.5625
2026-03-02 13:00:00+00:00,49673.77790216367,49182.634865892964,29185.454115514058,0.3130628712134423,65444.7578125
2026-03-02 14:00:00+00:00,50300.807073847165,50399.6174325355,17305.59768772003,0.4919948712134424,67064.1328125
2026-03-02 15:00:00+00:00,51419.99274743091,51901.33563954113,9441.739685754088,0.6078308712134423,69062.390625
2026-03-02 16:00:00+00:00,51725.127365810804,52239.035385141986,9473.739803739807,0.6078308712134423,69511.75
2026-03-02 17:00:00+00:00,51495.20016454462,51942.392948922316,9483.739592849088,0.6078308712134423,69117.0234375
2026-03-02 18:00:00+00:00,51419.87283711769,51843.08158210082,11488.676676442277,0.5788398712134423,68984.875
2026-03-02 19:00:00+00:00,51404.476249984946,51816.59659388139,9493.726623223938,0.6078458712134422,68949.6328125
2026-03-02 20:00:00+00:00,51628.31628016464,52073.549710579144,5509.811767296947,0.6655718712134422,69291.546875
2026-03-02 21:00:00+00:00,51722.74522681254,52174.522627315535,3514.8628119672776,0.6943788712134422,69425.90625
2026-03-02 22:00:00+00:00,51684.862233184795,52132.89581142642,5519.833576471588,0.6654848712134422,69370.515625
2026-03-02 23:00:00+00:00,51333.770167297065,51699.17257162719,11552.698341358468,0.5782688712134423,68793.3828125
2026-03-03 00:00:00+00:00,51466.30393123527,51864.91070783788,9557.746788550707,0.6072478712134423,69013.921875
2026-03-03 01:00:00+00:00,51356.73322723247,51709.541112792234,13573.618807391045,0.5491158712134422,68807.1796875
2026-03-03 02:00:00+00:00,51216.12109395234,51503.41498412721,13583.618861662175,0.5491158712134422,68532.8984375
2026-03-03 03:00:00+00:00,51121.22700745826,51373.54401551407,13583.618861662175,0.5491158712134422,68360.0859375
2026-03-03 04:00:00+00:00,50986.80401339697,51182.735850552104,15588.553725245925,0.5197508712134422,68106.1875
2026-03-03 05:00:00+00:00,50900.12043169374,51009.711553760535,21621.429537016604,0.43135587121344215,67875.953125
2026-03-03 06:00:00+00:00,50999.1455013897,51173.51806480515,19626.445927268385,0.46072687121344214,68093.921875
2026-03-03 07:00:00+00:00,51044.87611527208,51239.95070539546,17631.45700389468,0.49005987121344213,68182.3203125
2026-03-03 08:00:00+00:00,50580.11479165903,50343.31261386461,29751.168062172055,0.310929871213442,66989.2109375
2026-03-03 09:00:00+00:00,50495.21041062205,50087.357601356016,31772.153961819058,0.28092187121344203,66648.625
2026-03-03 10:00:00+00:00,50518.07400468629,50135.13743601125,29777.19193255569,0.310900871213442,66712.203125
2026-03-03 11:00:00+00:00,50629.60685651826,50392.6424456136,27782.21708394585,0.34072687121344203,67054.8515625
2026-03-03 12:00:00+00:00,50755.97305804394,50649.30200225572,27792.2170731661,0.34072687121344203,67396.375
2026-03-03 13:00:00+00:00,50618.400865649906,50299.566294373806,29813.175859463012,0.31084587121344204,66931.0
2026-03-03 14:00:00+00:00,50544.583964317484,50029.273808747974,33851.03119545132,0.250761871213442,66571.3359375
2026-03-03 15:00:00+00:00,50883.08930907653,50788.87806630818,23936.28940303184,0.3987268712134419,67582.1015625
